Geographic Area,StateCode,CountyCode,Estate Code,Category,Population
Estate Haulover,78,20,47230,Total,0
Estate Hawksnest,78,20,47250,Total,2
Estate Hermitage,78,20,47700,Total,0
Estate Hope,78,20,48110,Total,6
Estate Johns Folly,78,20,49875,Total,45
Estate Lameshur,78,20,53805,Total,2
Estate Leinster Bay,78,20,54550,Total,0
Estate Little Plantation,78,20,54960,Total,70
Estate Lovango Cay,78,20,55600,Total,4
Estate Maho Bay,78,20,56680,Total,1
Estate Mandal,78,20,56760,Total,39
Estate Molendal and Little Reef Bay,78,20,57330,Total,0
Estate Mount Pleasant and Retreat,78,20,57770,Total,0
Estate New Renobath,78,20,58850,Total,4
Estate Number 1 of Susannaberg,78,20,62540,Total,0
Estate Number 1 of Trunk Bay,78,20,62560,Total,2
Estate Parcel of Concordia,78,20,63400,Total,0
Estate Parcel of Gift and Regenback,78,20,63500,Total,66
Estate Pastory,78,20,63600,Total,431
Estate Peter Bay,78,20,64030,Total,11
Estate Reef Bay,78,20,65610,Total,0
Estate Rendezvous and Ditlef,78,20,65650,Total,70
Estate Rustenberg and Adventure,78,20,66765,Total,0
Estate St. Quaco and Zimmerman,78,20,68200,Total,88
Estate San Soucci,78,20,68650,Total,16
Estate Sieben,78,20,70230,Total,0
Estate Susannaberg,78,20,77650,Total,37
Estate Zootenvaal,78,20,86100,Total,7
Estate Adelphi,78,30,30,Total,3
Estate Agnes Fancy,78,30,80,Total,270
Estate Annas Fancy,78,30,3670,Total,373
Estate Annas Retreat,78,30,5520,Total,7479
Estate Bakkero,78,30,5560,Total,462
Estate Bolongo,78,30,7950,Total,688
Estate Bonne Esperance,78,30,8060,Total,269
Estate Bonne Resolution,78,30,8100,Total,372
Estate Bordeaux,78,30,8400,Total,275
Estate Bovoni,78,30,8500,Total,2604
Estate Canaan and Sherpenjewel,78,30,11650,Total,65
Estate Caret Bay,78,30,12400,Total,442
Estate Charlotte Amalie,78,30,17300,Total,218
Estate Contant,78,30,26300,Total,3584
Estate Crown and Hawk,78,30,27850,Total,67
Estate Demarara,78,30,29100,Total,3040
Estate Donoe,78,30,30550,Total,173
Estate Dorothea,78,30,30650,Total,479
Estate Eastern Water Island,78,30,34700,Total,18
Estate Elizabeth,78,30,34800,Total,167
Estate Fortuna,78,30,35890,Total,981
Estate Fortuna Hill,78,30,35900,Total,69
Estate Frenchman Bay,78,30,40300,Total,1124
Estate Frydendal,78,30,42450,Total,974
Estate Frydenhoj,78,30,42500,Total,1157
Estate Great St. James Island,78,30,45550,Total,9
Estate Hassel Island,78,30,47100,Total,17
Estate Herleins Kob,78,30,47300,Total,0
Estate Hoffman,78,30,47950,Total,0
Estate Honduras,78,30,48060,Total,850
Estate Hope,78,30,48120,Total,124
Estate Hospital Ground,78,30,48160,Total,193
Estate Hull,78,30,48180,Total,500
Estate Inner Brass Island,78,30,48500,Total,0
Estate John Brewers Bay,78,30,49750,Total,10
Estate Kings Quarter,78,30,50575,Total,4318
Estate Langmath Mariendal,78,30,53810,Total,996
Estate Lerkenlund,78,30,54650,Total,793
Estate Lilliendal and Marienhoj,78,30,54825,Total,305
Estate Lindbergh Bay,78,30,54875,Total,1997
Estate Little St. James Island,78,30,54990,Total,0
Estate Little St. Thomas,78,30,54995,Total,27
Estate Lovenlund,78,30,55800,Total,1147
Estate Lower John Dunko,78,30,55850,Total,445
Estate Mafolie,78,30,56620,Total,148
Estate Magens Bay,78,30,56630,Total,0
Estate Mandal,78,30,56840,Total,583
Estate Misgunst,78,30,57320,Total,93
Estate Nadir,78,30,58150,Total,1085
Estate Nazareth,78,30,58400,Total,1269
Estate Neltjeberg,78,30,58750,Total,47
Estate New Herrnhut,78,30,58825,Total,52
Estate Nisky,78,30,59200,Total,104
Estate Outer Brass Island,78,30,62800,Total,0
Estate Pearl,78,30,63950,Total,252
Estate Perseverance,78,30,64010,Total,12
Estate Peterborg,78,30,64050,Total,234
Estate Queens Quarter,78,30,65070,Total,940
Estate Raphune,78,30,65125,Total,125
Estate Ross,78,30,66200,Total,98
Estate St. Joseph and Rosendal,78,30,67660,Total,864
Estate St. Peter,78,30,67800,Total,283
Estate Santa Maria,78,30,68800,Total,191
Estate Smith Bay,78,30,72500,Total,2531
Estate Solberg,78,30,73550,Total,1193
Estate Sorgenfri,78,30,73800,Total,152
Estate Staabi,78,30,76400,Total,0
Estate Tabor and Harmony,78,30,77730,Total,206
Estate Thomas,78,30,78150,Total,2631
Estate Upper John Dunko,78,30,80260,Total,272
Estate Western Water Island,78,30,83500,Total,147
Estate Wintberg,78,30,85850,Total,1019
Estate Zufriedenheit,78,30,86200,Total,19
Charlotte Amalie town,78,30,-1,Total,10354
Charlotte Amalie East CDP,78,30,-1,Total,2491
Charlotte Amalie West CDP,78,30,-1,Total,5644
Christiansted town,78,10,-1,Total,2433
Coral Bay CDP,78,20,-1,Total,605
Cruz Bay CDP,78,20,-1,Total,2866
Frederiksted town,78,10,-1,Total,859
Frederiksted Southeast CDP,78,10,-1,Total,2168
Red Hook CDP,78,30,-1,Total,350
Tutu CDP,78,30,-1,Total,7356
United States Virgin Islands,78,-1,-1,Hispanic,18504
St. Croix Island,78,10,-1,Hispanic,12280
Anna's Hope Village subdistrict,78,10,-1,Hispanic,851
Christiansted subdistrict,78,10,-1,Hispanic,897
East End subdistrict,78,10,-1,Hispanic,370
Frederiksted subdistrict,78,10,-1,Hispanic,740
Northcentral subdistrict,78,10,-1,Hispanic,1220
Northwest subdistrict,78,10,-1,Hispanic,881
Sion Farm subdistrict,78,10,-1,Hispanic,3224
Southcentral subdistrict,78,10,-1,Hispanic,2311
Southwest subdistrict,78,10,-1,Hispanic,1786
St. John Island,78,20,-1,Hispanic,437
Central subdistrict,78,20,-1,Hispanic,41
Coral Bay subdistrict,78,20,-1,Hispanic,32
Cruz Bay subdistrict,78,20,-1,Hispanic,364
East End subdistrict,78,20,-1,Hispanic,0
St. Thomas Island,78,30,-1,Hispanic,5787
Charlotte Amalie subdistrict,78,30,-1,Hispanic,3186
East End subdistrict,78,30,-1,Hispanic,622
Northside subdistrict,78,30,-1,Hispanic,774
Southside subdistrict,78,30,-1,Hispanic,551
Tutu subdistrict,78,30,-1,Hispanic,483
Water Island subdistrict,78,30,-1,Hispanic,8
West End subdistrict,78,30,-1,Hispanic,163
Estate Adventure,78,10,70,Hispanic,41
Estate Allandale,78,10,600,Hispanic,0
Estate All for the Better,78,10,800,Hispanic,25
Estate Altona,78,10,1400,Hispanic,24
Estate Anguilla,78,10,2500,Hispanic,0
Estate Annaberg and Shannon Grove,78,10,3550,Hispanic,0
Estate Annaly,78,10,3630,Hispanic,1
Estate Annas Hope,78,10,3800,Hispanic,180
Estate A Piece of Land,78,10,5540,Hispanic,0
Estate Barren Spot 1,78,10,5575,Hispanic,0
Estate Barren Spot 2,78,10,5585,Hispanic,227
Estate Becks Grove,78,10,6175,Hispanic,0
Estate Beeston Hill,78,10,6225,Hispanic,56
Estate Bellevue,78,10,6260,Hispanic,11
Estate Belvedere,78,10,6310,Hispanic,4
Estate Bethlehem Middle Works,78,10,7100,Hispanic,43
Estate Bethlehem Old Works,78,10,7400,Hispanic,394
Estate Betsys Jewel,78,10,7500,Hispanic,2
Estate Bettys Hope,78,10,7650,Hispanic,0
Estate Blessing,78,10,7850,Hispanic,20
Estate Bodkin,78,10,7910,Hispanic,0
Estate Body Slob North,78,10,7920,Hispanic,0
Estate Body Slob South,78,10,7930,Hispanic,0
Estate Boetzberg,78,10,7940,Hispanic,93
Estate Bonne Esperance 1,78,10,8075,Hispanic,0
Estate Bonne Esperance 2,78,10,8080,Hispanic,8
Estate Brooks Hill,78,10,8600,Hispanic,8
Estate Bugby Hole,78,10,9300,Hispanic,6
Estate Cain Carlton,78,10,10600,Hispanic,10
Estate Caledonia,78,10,10800,Hispanic,0
Estate Canaan,78,10,11525,Hispanic,8
Estate Cane,78,10,11750,Hispanic,19
Estate Cane Bay,78,10,11840,Hispanic,3
Estate Cane Garden,78,10,11900,Hispanic,16
Estate Cane Valley,78,10,12050,Hispanic,6
Estate Carina,78,10,12500,Hispanic,0
Estate Carlton 1 North,78,10,12750,Hispanic,12
Estate Carlton 1 South,78,10,12800,Hispanic,10
Estate Carlton 2,78,10,12900,Hispanic,117
Estate Cassava Garden,78,10,13700,Hispanic,0
Estate Castle Coakley,78,10,14600,Hispanic,120
Estate Castle Nugent,78,10,14700,Hispanic,0
Estate Catherines Hope,78,10,14840,Hispanic,8
Estate Catherines Rest,78,10,14870,Hispanic,122
Estate Clairmont,78,10,22325,Hispanic,8
Estate Clifton Hill,78,10,22400,Hispanic,351
Estate Coakley Bay,78,10,23200,Hispanic,10
Estate Colquohoun,78,10,23500,Hispanic,194
Estate Concordia East,78,10,24460,Hispanic,16
Estate Concordia West,78,10,24500,Hispanic,142
Estate Constitution Hill,78,10,24600,Hispanic,93
Estate Contentment,78,10,26450,Hispanic,2
Estate Corn Hill,78,10,27250,Hispanic,1
Estate Cottage,78,10,27300,Hispanic,32
Estate Cotton Garden,78,10,27400,Hispanic,0
Estate Cotton Grove,78,10,27525,Hispanic,0
Estate Cotton Valley,78,10,27600,Hispanic,25
Estate Diamond East,78,10,29850,Hispanic,168
Estate Diamond Keturah,78,10,30100,Hispanic,0
Estate Diamond West,78,10,30300,Hispanic,61
Estate East Street,78,10,34750,Hispanic,426
Estate Elizas Retreat,78,10,34850,Hispanic,0
Estate Enfield Green,78,10,35150,Hispanic,131
Estate Envy,78,10,35450,Hispanic,0
Estate Fangselet,78,10,35550,Hispanic,49
Estate Fareham,78,10,35650,Hispanic,0
Estate Fountain,78,10,36050,Hispanic,17
Estate Frederikshaab,78,10,37700,Hispanic,5
Estate Friedensthal,78,10,41600,Hispanic,79
Estate Glynn,78,10,43500,Hispanic,209
Estate Golden Grove,78,10,44250,Hispanic,142
Estate Golden Rock,78,10,44300,Hispanic,700
Estate Granard,78,10,45050,Hispanic,4
Estate Grange,78,10,45150,Hispanic,11
Estate Grange Stock,78,10,45200,Hispanic,8
Estate Great Pond,78,10,45525,Hispanic,0
Estate Green Cay,78,10,45575,Hispanic,8
Estate Grove Place,78,10,46100,Hispanic,109
Estate Gumbs Land,78,10,46150,Hispanic,6
Estate Hams Bay,78,10,46320,Hispanic,6
Estate Hams Bluff,78,10,46330,Hispanic,0
Estate Hannahs Rest,78,10,46350,Hispanic,119
Estate Hard Labor,78,10,46380,Hispanic,0
Estate Hartman,78,10,47000,Hispanic,0
Estate Hermitage,78,10,47600,Hispanic,9
Estate Hermon Hill,78,10,47750,Hispanic,101
Estate Hogensborg,78,10,48030,Hispanic,1
Estate Hope and Carton Hill,78,10,48130,Hispanic,3
Estate Hope East,78,10,48140,Hispanic,26
Estate Hope West,78,10,48150,Hispanic,14
Estate Jacks Bay,78,10,48600,Hispanic,0
Estate Jerusalem and Figtree Hill,78,10,49700,Hispanic,11
Estate Jolly Hill,78,10,49930,Hispanic,0
Estate Judiths Fancy,78,10,49960,Hispanic,69
Estate Kingshill,78,10,50550,Hispanic,21
Estate Kramers Park,78,10,51500,Hispanic,0
Estate La Grande Princess,78,10,51700,Hispanic,567
Estate La Grange,78,10,53400,Hispanic,122
Estate La Press Valley,78,10,53825,Hispanic,0
Estate La Reine,78,10,54000,Hispanic,25
Estate La Vallee,78,10,54200,Hispanic,19
Estate Lebanon Hill,78,10,54300,Hispanic,0
Estate Little Fountain,78,10,54920,Hispanic,3
Estate Little La Grange,78,10,54930,Hispanic,9
Estate Little Princess North,78,10,54970,Hispanic,1
Estate Little Princess South,78,10,54975,Hispanic,58
Estate Little Profit,78,10,54980,Hispanic,0
Estate Longford,78,10,55100,Hispanic,0
Estate Long Point,78,10,55200,Hispanic,0
Estate Lower Love,78,10,55930,Hispanic,0
Estate Lowry Hill,78,10,55960,Hispanic,7
Estate Madam Carty,78,10,56200,Hispanic,0
Estate Mannings Bay,78,10,56860,Hispanic,0
Estate Marienhoj,78,10,56950,Hispanic,13
Estate Marys Fancy,78,10,57100,Hispanic,86
Estate Mon Bijou North,78,10,57425,Hispanic,3
Estate Mon Bijou South,78,10,57430,Hispanic,225
Estate Montpellier East,78,10,57530,Hispanic,21
Estate Montpellier West,78,10,57560,Hispanic,8
Estate Morning Star North,78,10,57650,Hispanic,1
Estate Morning Star South,78,10,57660,Hispanic,60
Estate Mountain,78,10,57670,Hispanic,3
Estate Mount Eagle,78,10,57680,Hispanic,0
Estate Mount Fancy,78,10,57690,Hispanic,0
Estate Mount Pleasant East 1,78,10,57790,Hispanic,15
Estate Mount Pleasant East 2,78,10,57800,Hispanic,3
Estate Mount Pleasant West,78,10,57820,Hispanic,177
Estate Mount Retreat,78,10,57840,Hispanic,0
Estate Mount Stewart,78,10,57860,Hispanic,0
Estate Mount Victory,78,10,57880,Hispanic,3
Estate Mount Washington and Washington Hill,78,10,57900,Hispanic,2
Estate Mount Welcome,78,10,57950,Hispanic,61
Estate Nicholas,78,10,59000,Hispanic,1
Estate North Grapetree Bay,78,10,59550,Hispanic,1
Estate North Hall,78,10,59600,Hispanic,0
Estate Northside,78,10,61325,Hispanic,7
Estate North Slob,78,10,61450,Hispanic,2
Estate North Star,78,10,61700,Hispanic,0
Estate Orange Grove East,78,10,62730,Hispanic,108
Estate Orange Grove West,78,10,62760,Hispanic,2
Estate Oxford,78,10,63050,Hispanic,1
Estate Paradise,78,10,63175,Hispanic,73
Estate Parasol,78,10,63300,Hispanic,0
Estate Pearl,78,10,63900,Hispanic,21
Estate Peters Farm,78,10,64070,Hispanic,6
Estate Peters Rest,78,10,64150,Hispanic,183
Estate Petronella,78,10,64300,Hispanic,0
Estate Pleasant Valley East,78,10,64530,Hispanic,11
Estate Pleasant Valley West,78,10,64560,Hispanic,4
Estate Plessen 1,78,10,64630,Hispanic,7
Estate Plessen 2,78,10,64660,Hispanic,84
Estate Profit,78,10,64820,Hispanic,654
Estate Prospect Hill,78,10,64870,Hispanic,0
Estate Prosperity East,78,10,64930,Hispanic,2
Estate Prosperity West,78,10,64960,Hispanic,16
Estate Punch,78,10,65020,Hispanic,0
Estate Rattan,78,10,65150,Hispanic,90
Estate Recovery Hill,78,10,65525,Hispanic,0
Estate Retreat,78,10,65750,Hispanic,83
Estate Richmond,78,10,65830,Hispanic,314
Estate River,78,10,65860,Hispanic,19
Estate Roberts Hill,78,10,66030,Hispanic,0
Estate Rose Hill,78,10,66060,Hispanic,0
Estate Ruby,78,10,66750,Hispanic,72
Estate Rust Up Twist,78,10,66780,Hispanic,2
Estate St. George,78,10,67000,Hispanic,159
Estate St. Georges Hill,78,10,67100,Hispanic,14
Estate St. John,78,10,67630,Hispanic,152
Estate St. Peters,78,10,68000,Hispanic,43
Estate Sallys Fancy,78,10,68530,Hispanic,31
Estate Salt River,78,10,68560,Hispanic,16
Estate Seven Hills,78,10,69200,Hispanic,1
Estate Shoys,78,10,69600,Hispanic,7
Estate Sight,78,10,70260,Hispanic,4
Estate Sion Farm,78,10,71300,Hispanic,428
Estate Sion Hill,78,10,71600,Hispanic,108
Estate Solitude East,78,10,73650,Hispanic,20
Estate Solitude West,78,10,73660,Hispanic,0
Estate Southgate,78,10,74000,Hispanic,10
Estate South Grapetree Bay,78,10,74400,Hispanic,1
Estate South Slob,78,10,75100,Hispanic,5
Estate Sprat Hall,78,10,75950,Hispanic,1
Estate Springfield,78,10,76100,Hispanic,0
Estate Spring Garden,78,10,76200,Hispanic,0
Estate Spring Gut,78,10,76300,Hispanic,3
Estate Stony Ground,78,10,76500,Hispanic,42
Estate Strawberry Hill,78,10,77100,Hispanic,186
Estate Sweet Bottom,78,10,77700,Hispanic,0
Estate Teague Bay,78,10,77760,Hispanic,11
Estate The Springs,78,10,78000,Hispanic,0
Estate Thomas,78,10,78100,Hispanic,7
Estate Tipperary,78,10,78200,Hispanic,30
Estate Turner Hole,78,10,78250,Hispanic,0
Estate Two Brothers,78,10,79500,Hispanic,478
Estate Two Friends,78,10,79700,Hispanic,0
Estate Union and Mount Washington,78,10,79900,Hispanic,78
Estate Upper Bethlehem,78,10,80230,Hispanic,48
Estate Upper Love,78,10,80400,Hispanic,187
Estate Waldberggaard,78,10,81900,Hispanic,3
Estate Wheel of Fortune,78,10,84100,Hispanic,106
